Date,Event or Activity,Location Name,Time of Event,Details,Additional Information,Drop-in/Pop-up,Staff
08/21/2018 12:00:00 AM,Read With a Ranger!,Ranger Station in Zilker Park,9:30am - 10:30am,,https://www.facebook.com/events/1710872952325171/,,
06/12/2018 12:00:00 AM,Visit With A Park Ranger,Old Quarry Branch Library,3:30pm - 4:30pm,,http://library.austintexas.gov/event/visit-park-ranger-465461,,
06/16/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 12:00pm,,https://www.facebook.com/events/1032117736955126/,,
06/23/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 12:00pm,,https://www.facebook.com/events/1032117736955126/,,
07/28/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 12:00pm,,https://www.facebook.com/events/1032117736955126/,,
07/14/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 12:00pm,,https://www.facebook.com/events/1032117736955126/,,
06/30/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 12:00pm,,https://www.facebook.com/events/1032117736955126/,,
07/07/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 12:00pm,,https://www.facebook.com/events/1032117736955126/,,
07/21/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 12:00pm,,https://www.facebook.com/events/1032117736955126/,,
10/06/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
10/13/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
10/26/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/02/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/28/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/20/2018 12:00:00 AM,Bark Ranger Workshop,Walnut Creek Metro Picnic Area,2:00pm - 3:00pm,,https://www.facebook.com/events/1865858136806379/,,
08/31/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/21/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/28/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/13/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
10/12/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/27/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
09/29/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
08/26/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/15/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/14/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
08/19/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/30/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
08/17/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/08/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
10/20/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
09/01/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
09/01/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
08/25/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
09/15/2018 12:00:00 AM,Bark Ranger Workshop,Onion Creek Metro Picnic Area,2:00pm - 3:00pm,,https://www.facebook.com/events/2398632366820811/,,
09/15/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
